name,role_raw,n_mentions,n_docs
Richard STADLER,klient družstva,1,1
Devin NUNES,republikánský kongresman,1,1
Dick DURBIN,demokratický senátor za stát,1,1
Dimitrij JEFIMOV,pilot,1,1
Dimitris AVRAMOPULOS,eurokomisař pro vnitro,1,1
Dirk JANSEN,německá federace pro ochranu přírody,1,1
Denis GARBUTT,včelař,1,1
Robert MINAŘÍK,doktorand,1,1
Roberto COSTABAL,kuchař,1,1
Rodrigo ROCHAS,ale také minul branku a,1,1
Roger COX,právní zástupce ekologických organizací,1,1
Roger SORKIN,režisér dokumentu,1,1
Role USA,v boji proti klimatickým změnám,1,1
Divák KH,se ptá na webu,1,1
Severovýchod USA,obecně vlastně severovýchodní polovina,1,1
Divák MD,se ptá ještě na jedno,1,1
Rolf DENSING,operační ředitel,1,1
Roman DYMÁČEK,hlavní inženýr divize,1,1
Rose SEABROOKOVÁ,účastnice protestu v,1,1
Rozpočet EU,pro příští rok,1,1
Roman SPURNÝ,správce ledové plochy,1,1
Roman TROUP,divák,1,1
Rudolf KOVAŘÍK,pozorovatel,1,1
Rudolf KOVAŘÍK,pracovník,1,1
Ruml OK,za informace,1,1
Rune SVENNING,horník,1,1
Rusko OSN,dá se vůbec nerespektuje,1,1
Rusové IT,často prostě ze země odcházely,1,1
Denisa ZBĚHLÍKOVÁ,chovatelka,1,1
Dawood AHMADZAL,uprchlík z,1,1
Divák MD,ptá se za starých časů,1,1
Susan HARTYOVÁ,evakuovaná z,1,1
Steve BRAY,odpůrce brexitu,1,1
Stefania FIOREOVÁ,italská hasička,1,1
Stefano BOERI,architekt staveb,1,1
Stefano VIO,gondoliér a potápěč,1,1
Daniel MAURICIO,starší kmene,1,1
Daniel BAREŠ,agrometeorolog,1,1
Daniel CALATAYUD,technik zalesňování,1,1
Daniel SZÓRÁD,odvolaný generální ředitel,1,1
Daniel POŠTA,designér šperků,1,1
Daniel SKÁLA,cimbálista,1,1
Daniel SOUKUP,proděkan,1,1
Dalila JAKUPOVIČOVÁ,tenistka,1,1
Dan BROWN,spisovatel,1,1
Dan BÁRTA,zpěvák a amatérský entomolog,1,1
Richard ZÁRUBA,statutární ředitel firmy,1,1
Dale VINCE,ekologická firma,1,1
Steve FORREST,biológ,1,1
Steve GREEM,projekt na čištění moře,1,1
Summit OSN,o klimatických změnách,1,1
Summit OSN,o změně klimatu,1,1
Stientje VAN VEIDHOVENOVÁ,nizozemská ministryně životního prostředí,1,1
Stientje VAN VELDHOVENOVÁ,nizozemská ministryně životního prostředí,1,1
Stream II,a překlenuje to hnědouhelnými elektrárnami,1,1
Stutox II,a to na povrchu půdy,1,1
Sven DEUBLER,německá civilní ochrana,1,1
Svenja SCHULZEOVÁ,spolková náměstkyně ministryně životního prostředí,1,1
Summit EU,a asijských zemí,1,1
Summit EU,a britské volby,1,1
Summit EU,se shodl na víceletém rozpočtu,1,1
Tak ČSSD,samozřejmě to říká tady pan,1,1
Dale STURROCK,bratr,1,1
Shaun WEST,lincolnshirská policie,1,1
Sergi GIRONA,provozní ředitel,1,1
Sibiu EU,chce demonstrovat jednotu a debatovat,1,1
Sie ČEN CHUA,hlavní čínský vyjednávač v oblasti,1,1
Serpil TASCIOGLUOVÁ,projektová manažerka,1,1
Dave THOUP,britské ministerstvo životníh prostedí,1,1
David BERNSTEIN,delegát,1,1
Sigurdur ERLINGSSON,správce parku,1,1
Sileši BEKELE,etiopský ministr pro vodohospodářství a,1,1
Sonya PEMBERTON,režisérka,1,1
Skotka OK,palmový olej palmu palmu olejnou,1,1
Skotská BBC,hledala moderátora pro dokument o,1,1
Skupina PGE,chce v místě těžit až,1,1
Skupiny ČEZ,pro severní,1,1
Srebrenka GOLIČOVÁ,srbská ministryně plánování a životního,1,1
Stanislav JURÁNEK,tehdejší jihomoravský lídr strany,1,1
Sledování ČT,sport dobrý den,1,1
Slovensko ČR,také právě proto že jsou,1,1
Snahou OSN,je proto přimět světové lídry,1,1
Snahu OSN,proto přimět světové lídry aby,1,1
Daniel VÍTEK,policejní mluvčí,1,1
Spojence NATO,podporují,1,1
Spojenci NATO,se připravují na dlouhodobé poskytování,1,1
Společnost OKD,se loni odvolala,1,1
Společnost ČEZ,uvolnila pro ukrajinské uprchlíky,1,1
Správa OSN,počítá i s katastrofickým scénářem,1,1
Daniel ŘIČICA,divák,1,1
Daniela KAUDERSOVÁ,učitelka,1,1
Stella PAPADIMITRIOSOVÁ,šéfka produkce vinice,1,1
Starostka PECKOVÁ,jak mám jako starostka zařídit,1,1
Stanislav HAVLÍČEK,místostarosta,1,1
Soudce US,řekl že soud se zabýval,1,1
Pokud PS,pošle všechna jména prezident to,1,1
Fahri TUNC,fotograf aktivista,1,1
Falci CDU,skončila druhá i přesto že,1,1
Falcon SCOTT,britský polárník,1,1
Počasí ČT,tam chodí hlavně fotografie kde,1,1
Podle UNESCO,ohrožovaly stabilitu podloží,1,1
Podle USA,je v,1,1
Podle ČSSD,je totiž kvůli podfinancování v,1,1
Poháru EHF,doma zdolali posílené,1,1
Pojezný KSČM,a návrh státního rozpočtu s,1,1
Pojezný KSČM,podporovala tuhle vládu,1,1
Pokračujeme SPORTEM,dobrý den,1,1
Pro ČEZ,i pro celé,1,1
Problémy OSN,na místě nevyřeší ale obrátí,1,1
Pokud ČSSD,ustoupí tak bude v té,1,1
Summit NATO,byl svolán spíše jako přípravný,1,1
Poslankyně ODS,paní,1,1
Poslední CDU CSU,doskočili sociální demokrati,1,1
Pospíšila ANO ODS,o tom se hovořilo už,1,1
Považoval NDR,za to lepší,1,1
Eva BOGOEVSKÁ,houslistka ze,1,1
Eriksen SOREIDOVÁ,norská ministryně zahraničí,1,1
Rada EU,plus předseda a potvrdit to,1,1
První GSM,mobily,1,1
Předal ČTÚ,je volant éry,1,1
Předpověď MMF,o zpomalení ekonomiky,1,1
Předseda KDU ČSL,a vicepremiér,1,1
Esef JASAREVIČ,místní rybář,1,1
Radek PASTRŇÁK,zpěvák kytarista,1,1
Radek SOUKUP,výzkumní,1,1
Přes EIA,to nelze udělat to je,1,1
Polsko ČR,tady,1,1
Pražská MHD,teď má v karanténě nebo,1,1
Prezident USA,prohlásil že se za své,1,1
Princ HARRY,vnuk britské královny,1,1
Priscilla ROBINSONOVÁ,protestující,1,1
Pro SŽDC,je výstavba vysokorychlostní železnice jednou,1,1
Phillipe VAILLER,francouzský policista,1,1
Prognózy OSN,o nějakých deseti miliardách v,1,1
Program OSN,pro životní prostředí analyzují jejich,1,1
Program ČSSD,spekulanti nechávají domy chátrat anebo,1,1
Programu OSN,pro životní prostředí jste v,1,1
Phillippe LAMBERTS,spolupředseda,1,1
Phudoma ŠERPAOVÁ,vesničanka z,1,1
Piráti OSN,není v tuto chvíli není,1,1
Piráti OSN,vznikl jako výsledek druhé světové,1,1
Pirátů ČSSD,hnutí,1,1
Evelin HERNANDEZOVÁ,svědkyně útoku,1,1
Plán EK,na nižší emise,1,1
Podle CVVM,převážil negativní postoj,1,1
Podle NKÚ,ho kabinet využil jen jednou,1,1
Podle NKÚ,také některé mechanismy ve vedení,1,1
Podle ODS,by takový krok podpořil podnikání,1,1
Podle OSN,byl minulý měsíc vůbec nejteplejším,1,1
Podle OSN,extrémy způsobují v zasažených státech,1,1
Podle OSN,je možné kritický nedostatek vláhy,1,1
Falcon SCOTT,britský polárník poslední záznam v,1,1
Evropa ČTK,získala rozvíjela tuto možnost technicky,1,1
Experti OSN,odhadují že bychom dokonce v,1,1
Eva TYLOVÁ,místostarostka,1,1
Eva VOJTOVÁ,scénáristka,1,1
Eva ČAPKOVÁ,čtenářka,1,1
Evan QUARTERMAIN,záchanář,1,1
Plus DPH,nezapomínejme,1,1
Robert FULGHUM,americký spisovatel zdroj,1,1
Robert HABECK,spolupředseda,1,1
Roald AMUDNSEN,norský polární badatel první na,1,1
Reportéři ČT,a ti využívají toho strachu,1,1
Reportéři ČT,v tomto týdnu uvedli že,1,1
Rašíd DŽAKAIL,syrský uprchlík a otec utonulého,1,1
Reakce EU,na zvolení,1,1
Reinhold MESSNER,horolezec,1,1
Richard BEXTER,protestující,1,1
Richard BORTIS,horský průvodce ve švýcarských,1,1
Donald TUSK,odstupivší předseda,1,1
Donald TUSK,stávající předseda,1,1
Donna GUILLAMOTOVÁ,evakuovaná z,1,1
Dopolední SPORT,je připraven dobrý den,1,1
Dorjsuren ADIYA,družstvo,1,1
Připomenu EU,má přes půl miliardy obyvatel,1,1
Dmitrij MICHAJLOV,hasič,1,1
Dny NATO,nabízejí letos rekordní množství techniky,1,1
Dita CHARANZOVÁ,zvolená místopředsedkyně,1,1
Divák DAYD,se ptá jaká byla,1,1
Do UNESCA,chce,1,1
Dolu ČSM,je teď kolegyně,1,1
Divák SK,ptá se jestli se může,1,1
Diváka ANTI,zajímá odpovíme jenom stručně pod,1,1
Diváka SK,zajímá jaké problémy kvůli sněhu,1,1
Richard BRABEC,vícepremiér ministr životního prostředí,1,1
Richard FRANC,velitel jednotky českých hasičů v,1,1
Do NHL,se podíval až ve,1,1
Roald AMUNDSEN,norský polární badatel první na,1,1
Robert BANDA,účastník protestů,1,1
Robert CAMPOVERDE,plukovník ekvádorské armády,1,1
Diváky ČT,bych pozval na scénu,1,1
Přišel COVID,samozřejmě pokles finančních prostředků do,1,1
Evo MORALES,bolivijský prezident,1,1
Eva PERNICOVÁ,lékařka,1,1
Radek PASTRŇÁK,zpěvák a kytarista,1,1
Emilia DE KAVALIJERIHO,je nejstarším podobným dílem a,1,1
Elijah GICHURU,výzkum a patologie rostlin,1,1
Eliška SÁČKOVÁ,pořadatelka členka hnutí,1,1
Radek ŠVÁB,výrobní ředitel,1,1
Radim DRAGOUN,okresní státní zástupce,1,1
Emmanuelle DEFAAZOVÁ,belgická turistka,1,1
Energa SA,cest,1,1
Radim TOLASZ,klimatolg,1,1
Radek ČERNÝ,poškozený řidič z,1,1
Erdenee BATZORIG,společnost pro ochranu životního prostředí,1,1
Eric BROTHERTON,oběť záplav,1,1
Renata MATOUŠKOVÁ,staniční sestra,1,1
Erik BOLANOS,kostarický farmář,1,1
Emmanuel MACRON,nezávislé hnutí,1,1
Radomil BALOUN,vinař,1,1
Radomil DOLEŽAL,generální ředitel agentury,1,1
Dárcovskými DMS,zprávami budou moci na konto,1,1
Díky LNG,z celého světa,1,1
Dorjusen ADIYA,družstvo,1,1
Raúl CASTRO,kubánský prezident,1,1
Rady EU,v druhé polovině příštího roku,1,1
Radě EU,takže ono to není úplně,1,1
Ram PATEL,stoupenec indického premiéra,1,1
Rami MIZRACHI,správce přístaviště u,1,1
Randy HOLT,kapitán ponorky,1,1
Ray MICHALKO,bývalý policista,1,1
Ejasu KATHELO,pěstitel kávy,1,1
Eric TRUMP,syn prezidenta,1,1
Vladyslava BANK,delegátka,1,1
Barbora BARCALOVÁ,advokátka,1,1
Antonín OSIČKA,zemědělské družstvo,1,1
Antonio VELLECA,pracovník v benátském cestovním ruchu,1,1
Vláda ODS,postupně slábne přichází zprávy o,1,1
Arnold KING,bahamský meteorologický úřad,1,1
Volker TREIER,německá průmyslová a obchodní komora,1,1
Vratislav MYNÁŘ,kancelář prezidenta republiky,1,1
Vratislav MYNÁŘ,kancléř prezidenta republiky,1,1
Vsetína ORP,část a podobně nemají na,1,1
Vojtěch KÁNĚ,dobrovolník,1,1
Babiše ODS,ji nepodpoří teď premiér jedná,1,1
Arsenij JACEŇUK,ukrajinský premiér,1,1
Audi BMW,pro ty by to byla,1,1
Augustin BERMEJO,lesní inženýr,1,1
Proč ODS,musela sáhnout po člověku proč,1,1
Anna HUBÁČKOVÁ,navrhovaná ministryně životního prostředí nestr,1,1
Anna JEVSTRATOVOVÁ,organizátorka,1,1
Ann CARLSONOVÁ,právnička,1,1
Annapaola LAVENOVÁ,kavárnice,1,1
Ano ALDE,určitě může vstoupit do hry,1,1
Ano NATO,je platformou důležitou platformou pro,1,1
Anna MITILINEOUOVÁ,protestující,1,1
Anna MITUŠOVÁ,kurátorka,1,1
Václav HAVEL,bývalý česko slovenský prezident,1,1
Václav HAVEL,tehdejší český prezident ukázka ze,1,1
Václav HLAVÁČ,agentura ochrany přírody,1,1
Anna ŠARATŠICHOVÁ,potápěčka,1,1
Antonio GUTTERES,generální tajemník,1,1
André BORSCHBERG,pilot,1,1
Andrej PERSIJANOV,velitel vrtulníkové letky ruské armády,1,1
Arias CANETE,eurokomisař pro otázky klimatu,1,1
Valerio ROJAS,rybář,1,1
Veronika FLEISSIGOVÁ,delegátka,1,1
Bohuslav SOBOTKA,český premiér,1,1
Victor MANJARREZ,bývalý americký pohraničník sektor,1,1
Bernie SANDERS,demokratický podporovatel,1,1
Bez CEITEC,by nebyl zde tak silný,1,1
Bernard BIGOT,generální ředitel,1,1
Violeta TOMIČKOVÁ,slovinská poslankyně,1,1
Virus HIV,patří vlastně k nejzkoumanějším biologickým,1,1
Viktor PLACHÝ,agronom,1,1
Viktor PORTEL,spoluautor projektu,1,1
Vladimir KARA MURZA,ruský opoziční aktivista,1,1
Vladimir PASEČNIK,velitel základny,1,1
Bitney CRONE,dokument,1,1
Blanka SVOBODOVÁ,bývalá zaměstnankyně,1,1
Barack OBAMA,amererický prezident,1,1
Bin SALMAN,saúdskoarabský princ,1,1
Barbora SVÓBODOVÁ,spoluorganizátorka akce,1,1
Vladimír BESKID,kurátor,1,1
Vladimír BESKYD,kurátor,1,1
Bedřich MOLDAN,geochemik ekolog bývalý ministr životního,1,1
Vladimír LETOCHA,pracovník,1,1
Vladimír KOBLÍŽEK,přednosta plicní kliniky,1,1
Vladimír KRCHOV,obchodní ředitel,1,1
Bernard INGHAM,bývalý tiskový mluvčí,1,1
Bendle OSN,jak jsem o ní mluvila,1,1
Bartoška KDU ČSL,a vicepremiéra za hnutí,1,1
Ač API,k nám nebo řada čápů,1,1
Babiš ČSSD,již vládnout,1,1
Vladimír VALENTA,hlavní hygienik,1,1
Vladimír WAGNER,jaderný fyzik,1,1
Bloomberg NEF,když to budu citovat přesně,1,1
Allison MACFARLANOVÁ,odborný časopis pro jaderné vědce,1,1
Čína USA,nebo,1,1
Část CEITEC,kterou zajišťuje,1,1
Štáb BBC,strávil týden s vojáky v,1,1
Alfonso VALENCIA,oddělení medicíny,1,1
Ali SUBAH,jordánské ministerstvo pro vodu a,1,1
Aleš CIGÁNEK,šéfkameraman,1,1
Alfréd PLAŠIL,místostarosta,1,1
Zdeněk PELDA,mykolog,1,1
Zdeněk PAZDERKA,zahradník,1,1
Zdeněk ŠKROMACH,neúspěšný kandidát do,1,1
Zdeněk ZVONEK,dokumentarista,1,1
Alexandar VUČIČ,srbský prezident,1,1
Alexandr OVEČKIN,útočník,1,1
Alexander RAFAEL,dobrovolník,1,1
Andrew FEUSTEL,astronaut,1,1
Zac TUDOR,krajinářský architekt,1,1
Za ČSSD,tu máme,1,1
Za ČSSD,paní,1,1
Zbyněk PAVLAČÍK,organizátor spolek,1,1
Zbyněk MIKULICA,silničář řidič posypového vozu nesrozumitelné,1,1
Zavádění EET,do života je ve,1,1
Anahi CORDEROVÁ,veterinářka,1,1
Americká NASA,zjistila že ledovce na,1,1
Zachraňme ČSSD,přišla v úterý s několika,1,1
Zachraňme ČSSD,mluví i o rekonstrukci vlády,1,1
Amarjit SANGH,odpůrce indického premiéra,1,1
Alvin SMITH,vynálezce zařízení,1,1
Anastasija RADYCHOVSKAJA,obchodní manažerka terapeutického rodinného centra,1,1
Ali GUFU,pastevec uživatel aplikace,1,1
Protocol CAP,formát kdy je vlastně takový,1,1
Zdeněk NEKUDA,navrhovaný ministr zemědělství,1,1
Angela MARKELOVÁ,německá kancléřka,1,1
Angela MERKELOVÁ,německá kancléřka předsedkyně,1,1
Anglie HDP,stouplo tak razantně tak si,1,1
Ani JAR,typu no more,1,1
Ani ODS,jste zapomněl říct,1,1
Václav LENGOVIČ,dřevorubec,1,1
Václav LIDICKÝ,výrobně technický ředitel,1,1
Václav ČUBR,sdružení,1,1
Václav ŠILHA,fotograf,1,1
Václav SOJKA,strážce,1,1
Věra JOUROVÁ,budoucí místopředsedkyně,1,1
Vítězslav KOLEK,přednosta kliniky plicních nemocí a,1,1
Xaví MATILLA,hlavní architekt barcelonské radnice,1,1
Andrea BASSERNE,protestující,1,1
Walter MARTOS,peruánský premiér,1,1
Xavier VANBILLEMONT,rybář na pláži,1,1
Wang JIN ŤI,rolník,1,1
Andreas GAJDOŠÍK,finalista,1,1
Andrej BABIŠ,designovaný premiér předseda hnutí,1,1
Zbyněk STANJURA,nově zvolený,1,1
Zdenka POLACHOVÁ,cestující,1,1
Zastupuje OSN,v otázce změn klimatu,1,1
Zavedení EET,nám přináší komplikace technické ne,1,1
Washingtonu DC,s nimiž jsme se podíleli,1,1
Washingtonu USA,a ona se představila jako,1,1
Zdeněk HOLEČEK,divák,1,1
Werner KOGLER,vicekancléř,1,1
Will RUST,divák,1,1
Yasuo TAKAMATSU,muž který při tsunami přišel,1,1
William VOGT,hasič,1,1
Wubbo OCKELS,iniciátor akce bývalý astronaut,1,1
Wan AZÁZAHOVÁ,malajsijská vicepremiérka,1,1
Tereza VAČKAŘOVÁ,čtenářka,1,1
Tino CHRUPALLA,volební lídr,1,1
Christopher DOBSON,biochemik profesor chemické a strukturální,1,1
Christian TORRES,kuchař,1,1
Titaniku II,mají doplout až do cíle,1,1
To DPH,je potřeba taky vyjednávat v,1,1
To NATO,to ví už nejméně,1,1
Todd FRERICHS,zaměstnanec,1,1
Tom PHILIPP,přednosta,1,1
Tim COLE,hudební producent dokumentarista,1,1
Timur ZAMILOV,výrobce cínových vojáčků,1,1
Clara GOLDSMITHOVÁ,organizace,1,1
Tom STEYER,filantrop obchodník,1,1
Tomasz KIIEWSKI,mořský biolog,1,1
Tomasz LAMIK,samospráva,1,1
Vedení ODS,nyní usiluje o jejich propuštění,1,1
Chartu OSN,je nutné služba a ujišťuji,1,1
Chartu OSN,to je vlastně zakládající listina,1,1
Celine TARDYOVÁ,mořská výzkumnice,1,1
Centru ICRC,zase vzniká výzkumný tým který,1,1
Cezary PONIATOWSKI,autor díla,1,1
Cezary PRZYBYLSKI,maršálek,1,1
Charty OSN,a to to volalo že,1,1
Charty OSN,budovali,1,1
Charty OSN,jsem ujištěna přesvědčen o tom,1,1
Charty OSN,když to takto jednoduchá volba,1,1
Charty OSN,silnice která tak já se,1,1
Chartě OSN,je napsáno že útočná agresivní,1,1
Chartě OSN,na základě,1,1
Chartě OSN,v roce,1,1
Tomáš DRÁPELA,generální ředitel,1,1
Chartou OSN,především na základě principu rovnosti,1,1
Takže ANO,do budoucna,1,1
Tam NKÚ,nenašel pochybení,1,1
Svět CNN,dobyla v roce,1,1
Sylva MAŠÍNOVÁ,soudkyně,1,1
Ta OKD,následně přeprodala firmě,1,1
Ted CRUZ,republikánský senátor,1,1
Ted MAKSYM,oceánografický ústav,1,1
Tanaka OV,bylo,1,1
Taťána FISCHEROVÁ,občanská aktivistka,1,1
Tak IPCC,není výzkumná instituce,1,1
Tak KSČM,byla první stranu která by,1,1
Tak SPD,se také chová populisticky jo,1,1
Což ČT,netvrdila,1,1
Craig SPENCER,hasič,1,1
Tchang KUO ČCHAING,zvláštní vyslanec čínského ministra zahraničí,1,1
Tim COLE,hudební producent a dokumentarista,1,1
Ted CRUZ,republikánský kandidát za,1,1
Czech ADAPT,a prezentujeme na klimatickezmene,1,1
Cíle ČEZ,do roku,1,1
Clarkson BBC,nebo ona jeho,1,1
Claude JUNCKER,končící předseda,1,1
Claude THEULOT,vinař,1,1
Tereza CHMELAŘOVÁ,účastnice akce,1,1
Colin BUTFIELD,mediální manažer,1,1
Thanh THUY,sousedka strženého domu,1,1
Tereza KOBELKOVÁ,doktorandka,1,1
Tehdy OSN,obvinil z toho že společenství,1,1
Temelín ČEZ,je v zisku a může,1,1
Ten ASEK,to předpokládá protože to co,1,1
Teplicím FCSB,odehrálo utkání v domácí soutěži,1,1
Tia NELSONOVÁ,dcera zakladatele,1,1
Te VELTHUIS,šéfkuchař,1,1
Bruce SPALDING,lesník,1,1
Tony APPLETON,fanoušek monarchie neoficiální vyvolávač,1,1
Tomáš VYHNÁNEK,odborný as,1,1
Tomáš VĚTROVSKÝ,bioinformatik,1,1
Tomáš WEIGNER,výrobní ředitel,1,1
Třeba ODS SPD,nebo českým,1,1
Třetí KSČM,je na,1,1
Ukrajině AAA,vlastně rozruch krajů a ten,1,1
Tristan VANCLEEF,účastník protestu,1,1
Trudy PAAPOVÁ,vedkyně z univerzity v,1,1
Trump KLDR,je světovým problémem,1,1
Trynes KAYUNIOVÁ,učitelka v,1,1
Turbulence ČT,to jsou stránky našeho našeho,1,1
Tyler EDWARDS,obyvarel,1,1
Tím ÚS,nenaznačuje jak má nakonec trestní,1,1
Chloe KOCHELLOVÁ,účastnice protestů,1,1
Vagelis GAVALAS,spolumajitel vinohrad,1,1
Valentin KIRILOV,ruský pop,1,1
Valerie MASSON DELMOTTEOVÁ,panel,1,1
Ulrike SCHARFOVÁ,bavorská státní ministryně životního prostředí,1,1
University NASA,nechá do planetky narazit vesmírnou,1,1
Borut PAHOR,slovinský prezident,1,1
Boris HEZZMANN,kapitán,1,1
Vasilij ROGATYCH,škola námořní platby,1,1
Bob KOPP,spoluautor zpráv,1,1
Bob KOPP,spoluautor zprávy,1,1
Bohdan LOJKA,agrolesník,1,1
Vaso DIMITRAKOPOLUOVÁ,postižená požárem,1,1
Vaso VLACHOUOVÁ,protiamerická demonstrantka,1,1
Vedení EU,bude jednat s prezidentem,1,1
Vedení KDU ČSL,schválilo koaliční smlouvu,1,1
Třeba EIA,když se na to zpracovává,1,1
Chris CHRISTIE,republikánský politik guvernér,1,1
Chris STARK,výbor por klimatickou změnu,1,1
Tomáš KLUS,zpěvák,1,1
Tomáš HÁJEK,technický pracovník,1,1
Bude ODS,pro aby tímhle způsobem zainvestovala,1,1
Bulka PIN,bydlo,1,1
Buren ČIČIG,ekologická migrantka,1,1
Byambasuren TOITOG,vůdce komunity v oblasti,1,1
Carlen PHILIPP,hoteliér,1,1
Carola RACKETEOVÁ,kapitánka lodi,1,1
Carolina ADLEROVÁ,spolupředsedkyně,1,1
Carolina SCHMIDTOVÁ,chilská ministryně pro životní prostředí,1,1
Caroline KENNEDYOVÁ,dcera,1,1
Challanger CNN,jí jako jediná vysílala živě,1,1
Tomáš MADER,lesník obyvatel,1,1
Broumov OKD,další protože bohužel,1,1
Brabec JE,host dnešního interview děkuju vám,1,1
Brad SMITH,generální ředitel,1,1
Brenda STEPHENSOVÁ,zaměstnankyně pošty ve městě,1,1
Boris TEUNIS,nizozemský odborník vodní správy,1,1
Tomáš TELENSKÝ,dobrovolný spolupracovník v terénu,1,1
Tomáš TRNKA,správce parku veřejné zeleně města,1,1
Britské HDP,by letos mohlo klesnout až,1,1
Británii AKO,už ne členem,1,1
Brně ICRC,a nemocnice v,1,1
Tomáš ZAAL,praktický lékař,1,1
Tomáš ZAVŘEL,generální ředitel,1,1
Tomáš TRNKA,stavební koordinátor,1,1
Tomáš SLACH,výzkumný pracovník,1,1
Tomáš SLAVKOVSKÝ,marketingová ředitel,1,1
Brooklynu AIDS,skáče se vám,1,1
Tomáš KNOFLÍČEK,kurátor,1,1
Juniorské ME,v silniční cyklistice otevřela ženská,1,1
Maxim LOMYKIM,pilot,1,1
Max WAKEFIELD,organizátor protestu,1,1
Max BARCLAY,kurátor oddělení brouků,1,1
Julien PERRIN,francouzský včelař,1,1
Julianne BARBIERE,mezinárodní oceánografická komise,1,1
Julia EVEOVÁ TRUSTRAMOVÁ,šéfka marketingu asociace anglických vinařů,1,1
Čang JUNG,generální ředitel,1,1
Kapela MIDI,lidi vyhrála soutěž o nejlepší,1,1
Kandidátem SPD,se stal jeho předseda,1,1
Kamil VÁVRA,odlévač,1,1
Kafule JIGZAV,stavební dělník,1,1
Kacanobu KATO,vrchní tajemník japonské vlády,1,1
Kamala HARRISOVÁ,demokratická kandidátka na viceprezidentku,1,1
Matěj PEKR,útočník,1,1
Kamala HARRIS,zvolená viceprezidentka,1,1
Jyri VILJANEN,kapitán ledoborce,1,1
Michaela MAREČKOVÁ,rostlinná fyzioložka,1,1
Josef HOLEŠ,nadlesní,1,1
Michal HOZÁK,čtenář,1,1
Michael KIDD,prvním muže žádajícího o azyl,1,1
Michael KARISCH,německý turista,1,1
Mette FREDERIKSENOVÁ,dánská premiérka,1,1
Metody CRISPR,můžete dozvědět v rozhovorech s,1,1
Jurij MOJSEVIČ,hlavní trenér běloruského atletického týmu,1,1
Michael HOULT,australský jachtař,1,1
Mercedes RBS,slibuje dojezd,1,1
Melinda GATESOVI,prohlášení,1,1
Melina GATESOVÁ,manželka,1,1
Melanie ENGRAMOVÁ,výzkumná asistentka z,1,1
Meghan TAYLOROVÁ,účastnice protestů,1,1
Meghan MARKLEOVÁ,vévodkyně ze,1,1
Michael BENDAVID,právní zástupce obžalovaných,1,1
Metoda PCR,potvrdila nákazu u tisíce,1,1
Keystone XL,tedy ta nová trubka jen,1,1
Kevin JOHNSON,válečný veterán,1,1
Klub KSČM,nepodporuje tuto normu tak vraťme,1,1
Klaus JOHANNIS,rumunský premiér hostitel summitu,1,1
Kerem ATATUN,asistent vedoucího projektu na ochranu,1,1
Kim DO HYEON,vůdkyně demonstrací v,1,1
Martin ROMAN,tehdejší generální ředitel,1,1
Martin ŠTRUPL,generální ředitel,1,1
Kdyby ČSSD,z vlády odešla kdyby se,1,1
Kdy MPO,tedy vypsalo jakousi socioekonomickou nebo,1,1
Katarína SENDECKÁ,analytická chemička,1,1
Martin NOVÁK,finanční ředitel,1,1
Martin POVEJŠIL,český velvyslanec při,1,1
Ko BARRETTOVÁ,vicepředsedkyně,1,1
Kongresu OSN,nebo ve,1,1
Konference OSN,o změnách klimatu ve,1,1
Kateřina HOFSCHNAIDROVÁ,dobrovolnice,1,1
Matt DUNBABIN,vynálezce robota,1,1
Martina VAŠÁKOVÁ,přednostka pneumologické kliniky,1,1
Martina RIEBAUEROVÁ,dramaturgyně,1,1
Martina NAVRÁTILOVÁ,tenistka,1,1
Matyáš JAKUBŮ,protestující,1,1
Karina KOTTOVÁ,kurátorka výstavy,1,1
Karolína BRANDLOVÁ,zooložka,1,1
Karel PEŠÁK,spolumajitel,1,1
Karin POLZIOVÁ,turistka,1,1
Karel ŠROL,tiskový odbor,1,1
Karel ČERMÁK,generální ředitel,1,1
Karla IV,který,1,1
Martin TOBOLKA,obsluha lanové dráhy,1,1
Martin ZAVRTÁLEK,metodik ochrany lesa,1,1
Martin ŠPALEK,místostarosta,1,1
Karel KALIVODA,místostarosta,1,1
Kate SHEFFEROVÁ,národní akvárium v,1,1
Milada VÁLKOVÁ,vinařka,1,1
Milada VÁLKOV,vinařka,1,1
Milan CHYTRÝ,botanik,1,1
Miguel ROMERO,hasiči,1,1
Joe BIDEN,demokratický kandidát,1,1
Michel FONNE,vinař,1,1
Miguel ARIAS CANETE,eurokomisař pro klima a energie,1,1
Michaela BABIŠOVÁ,iniciativa,1,1
Micheál MARTIN,irský premiér,1,1
Michelle OBAMOVÁ,bývalá prvá dáma,1,1
Michelle BACHELETOVÁ,vysoká komisařka,1,1
Michel TEMER,brazilský vicepremiér,1,1
Michal ZEMAN,molekulární biolog,1,1
Jiří ŠTEFEK,cyklista,1,1
Michal SLOUKA,pozorovatel,1,1
Michal RYGL,přednosta,1,1
Mick RYAN,australský generál ve výslužbě,1,1
Jiří KADEŘÁBEK,hudební skladatel,1,1
Jiří KOS,sekce ochrany a podpory veřejného,1,1
Milan VÁŇA,výzkumný pracovník,1,1
Milena DRDÁCKÁ,klientka družstva,1,1
Milan ŠÁLEK,hlavní metoorolog,1,1
Jiří HORSKÝ,hrázný,1,1
Milan NOVOTNÝ,učitel,1,1
