name,role_raw,type_llm
Vedení EU,bude jednat s prezidentem,M6
Vedení KDU ČSL,schválilo koaliční smlouvu,M6
Vedení ODS,nyní usiluje o jejich propuštění,M6
Bohuslav SOBOTKA,český premiér,M6
Victor MANJARREZ,bývalý americký pohraničník sektor,M2
Bernie SANDERS,demokratický podporovatel,M6
Bez CEITEC,by nebyl zde tak silný,SKIP
Ač API,k nám nebo řada čápů,SKIP
Virus HIV,patří vlastně k nejzkoumanějším biologickým,SKIP
Viktor PORTEL,spoluautor projektu,M5
Vladimir KARA MURZA,ruský opoziční aktivista,SKIP
Bitney CRONE,dokument,M2
Blanka SVOBODOVÁ,bývalá zaměstnankyně,M2
Bloomberg NEF,když to budu citovat přesně,SKIP
Bin SALMAN,saúdskoarabský princ,M6
Barbora SVÓBODOVÁ,spoluorganizátorka akce,M5
Bedřich MOLDAN,geochemik ekolog bývalý ministr životního,M3
Vladimír KOBLÍŽEK,přednosta plicní kliniky,M3
Bendle OSN,jak jsem o ní mluvila,SKIP
Bartoška KDU ČSL,a vicepremiéra za hnutí,M6
Violeta TOMIČKOVÁ,slovinská poslankyně,M6
Zbyněk PAVLAČÍK,organizátor spolek,M5
Zbyněk MIKULICA,silničář řidič posypového vozu nesrozumitelné,M2
Podle NKÚ,také některé mechanismy ve vedení,SKIP
Zavádění EET,do života je ve,SKIP
Zástupci ČSSD ANO,a lidovců dokument podepsali,M6
Andreas GAJDOŠÍK,finalista,M2
Andrej BABIŠ,designovaný premiér předseda hnutí,M6
Zbyněk STANJURA,nově zvolený,M6
Zdenka POLACHOVÁ,cestující,M2
Zastupuje OSN,v otázce změn klimatu,M6
Zavedení EET,nám přináší komplikace technické ne,SKIP
Václav HAVEL,tehdejší český prezident ukázka ze,M6
Anahi CORDEROVÁ,veterinářka,M5
Werner KOGLER,vicekancléř,M6
Wubbo OCKELS,iniciátor akce bývalý astronaut,M3
Allison MACFARLANOVÁ,odborný časopis pro jaderné vědce,M3
Ali GUFU,pastevec uživatel aplikace,M2
Alvin SMITH,vynálezce zařízení,M2
Amarjit SANGH,odpůrce indického premiéra,M2
Zachraňme ČSSD,mluví i o rekonstrukci vlády,SKIP
Zachraňme ČSSD,přišla v úterý s několika,SKIP
Americká NASA,zjistila že ledovce na,SKIP
Amir WEIZMAN,podmořský dokumentarista,M1
Washingtonu DC,s nimiž jsme se podíleli,SKIP
Václav HLAVÁČ,agentura ochrany přírody,M5
Anna ŠARATŠICHOVÁ,potápěčka,M2
Andrew FEUSTEL,astronaut,M3
Anglie HDP,stouplo tak razantně tak si,SKIP
Ani JAR,typu no more,SKIP
Ani ODS,jste zapomněl říct,SKIP
Václav LENGOVIČ,dřevorubec,M2
Václav LIDICKÝ,výrobně technický ředitel,M5
Václav ČUBR,sdružení,SKIP
Václav ŠILHA,fotograf,M2
Václav SOJKA,strážce,M2
Za ČSSD,paní,SKIP
Vítězslav KOLEK,přednosta kliniky plicních nemocí a,M3
Xaví MATILLA,hlavní architekt barcelonské radnice,M5
Walter MARTOS,peruánský premiér,M6
Wang JIN ŤI,rolník,M2
Zdeněk PAZDERKA,zahradník,M2
Zdeněk ŠKROMACH,neúspěšný kandidát do,SKIP
Zdeněk ZVONEK,dokumentarista,M1
Alexandr OVEČKIN,útočník,M2
Zdeněk NEKUDA,navrhovaný ministr zemědělství,SKIP
Zac TUDOR,krajinářský architekt,M5
Šéf ČS,měl by mít lékaři možnost,SKIP
Za ČSSD,tu máme,SKIP
Věra JOUROVÁ,budoucí místopředsedkyně,M6
Tim COLE,hudební producent a dokumentarista,M1
Tereza VAČKAŘOVÁ,čtenářka,M2
Tino CHRUPALLA,volební lídr,M6
Christopher DOBSON,biochemik profesor chemické a strukturální,M3
Christian TORRES,kuchař,M2
Titaniku II,mají doplout až do cíle,SKIP
To DPH,je potřeba taky vyjednávat v,SKIP
To NATO,to ví už nejméně,SKIP
Todd FRERICHS,zaměstnanec,M2
Tom PHILIPP,přednosta,M5
Tim COLE,hudební producent dokumentarista,M1
Bob KOPP,spoluautor zpráv,M1
Clara GOLDSMITHOVÁ,organizace,SKIP
Tom STEYER,filantrop obchodník,M2
Tomasz LAMIK,samospráva,M6
Chartou OSN,především na základě principu rovnosti,SKIP
Chartu OSN,je nutné služba a ujišťuji,SKIP
Chartu OSN,to je vlastně zakládající listina,SKIP
Centru ICRC,zase vzniká výzkumný tým který,SKIP
Cezary PONIATOWSKI,autor díla,M2
Cezary PRZYBYLSKI,maršálek,M6
Charty OSN,a to to volalo že,SKIP
Charty OSN,budovali,SKIP
Timur ZAMILOV,výrobce cínových vojáčků,M2
Takže ANO,do budoucna,SKIP
Tam NKÚ,nenašel pochybení,SKIP
Svět CNN,dobyla v roce,SKIP
Sylva MAŠÍNOVÁ,soudkyně,M6
Ta OKD,následně přeprodala firmě,SKIP
Ted MAKSYM,oceánografický ústav,M3
Tanaka OV,bylo,SKIP
Taťána FISCHEROVÁ,občanská aktivistka,M5
Tak IPCC,není výzkumná instituce,SKIP
Tak KSČM,byla první stranu která by,SKIP
Tak SPD,se také chová populisticky jo,SKIP
Tia NELSONOVÁ,dcera zakladatele,M2
Tchang KUO ČCHAING,zvláštní vyslanec čínského ministra zahraničí,M6
Te VELTHUIS,šéfkuchař,M2
Czech ADAPT,a prezentujeme na klimatickezmene,SKIP
Cíle ČEZ,do roku,SKIP
Clarkson BBC,nebo ona jeho,SKIP
Claude JUNCKER,končící předseda,M6
Colin BUTFIELD,mediální manažer,M1
Thanh THUY,sousedka strženého domu,M2
Tehdy OSN,obvinil z toho že společenství,SKIP
Temelín ČEZ,je v zisku a může,SKIP
Ten ASEK,to předpokládá protože to co,SKIP
Teplicím FCSB,odehrálo utkání v domácí soutěži,SKIP
Což ČT,netvrdila,SKIP
Tomáš SLAVKOVSKÝ,marketingová ředitel,M5
Brooklynu AIDS,skáče se vám,SKIP
Broumov OKD,další protože bohužel,SKIP
Tony APPLETON,fanoušek monarchie neoficiální vyvolávač,M2
Tomáš VYHNÁNEK,odborný as,M3
Tomáš VĚTROVSKÝ,bioinformatik,M3
Třeba ODS SPD,nebo českým,SKIP
Třetí KSČM,je na,SKIP
Ukrajině AAA,vlastně rozruch krajů a ten,SKIP
Trudy PAAPOVÁ,vedkyně z univerzity v,M3
Trump KLDR,je světovým problémem,SKIP
Charty OSN,jsem ujištěna přesvědčen o tom,SKIP
Tyler EDWARDS,obyvarel,M2
Tím ÚS,nenaznačuje jak má nakonec trestní,SKIP
Třeba EIA,když se na to zpracovává,SKIP
Vagelis GAVALAS,spolumajitel vinohrad,M5
Valentin KIRILOV,ruský pop,M2
Valerie MASSON DELMOTTEOVÁ,panel,M3
Ulrike SCHARFOVÁ,bavorská státní ministryně životního prostředí,M6
University NASA,nechá do planetky narazit vesmírnou,SKIP
Borut PAHOR,slovinský prezident,M6
Boris HEZZMANN,kapitán,M2
Vasilij ROGATYCH,škola námořní platby,M2
Turbulence ČT,to jsou stránky našeho našeho,SKIP
Charty OSN,když to takto jednoduchá volba,SKIP
Charty OSN,silnice která tak já se,SKIP
Chartě OSN,je napsáno že útočná agresivní,SKIP
Chartě OSN,na základě,SKIP
Chartě OSN,v roce,SKIP
Chris STARK,výbor por klimatickou změnu,M3
Tomáš KLUS,zpěvák,M2
Bude ODS,pro aby tímhle způsobem zainvestovala,SKIP
Bulka PIN,bydlo,SKIP
Buren ČIČIG,ekologická migrantka,M5
Byambasuren TOITOG,vůdce komunity v oblasti,M5
Tomáš ZAAL,praktický lékař,M1
Carola RACKETEOVÁ,kapitánka lodi,M2
Carolina ADLEROVÁ,spolupředsedkyně,M5
Carolina SCHMIDTOVÁ,chilská ministryně pro životní prostředí,M6
Caroline KENNEDYOVÁ,dcera,M2
Challanger CNN,jí jako jediná vysílala živě,SKIP
Brabec JE,host dnešního interview děkuju vám,SKIP
Brenda STEPHENSOVÁ,zaměstnankyně pošty ve městě,M2
Tomáš TELENSKÝ,dobrovolný spolupracovník v terénu,M5
Tomáš TRNKA,správce parku veřejné zeleně města,M5
Britské HDP,by letos mohlo klesnout až,SKIP
Británii AKO,už ne členem,SKIP
Brně ICRC,a nemocnice v,SKIP
Carlen PHILIPP,hoteliér,M5
Matt DUNBABIN,vynálezce robota,M5
Kamala HARRIS,zvolená viceprezidentka,M6
Matěj PEKR,útočník,M2
Kacanobu KATO,vrchní tajemník japonské vlády,M6
Kamil VÁVRA,odlévač,M2
Kandidátem SPD,se stal jeho předseda,SKIP
Kapela MIDI,lidi vyhrála soutěž o nejlepší,SKIP
Jyri VILJANEN,kapitán ledoborce,M2
Julia EVEOVÁ TRUSTRAMOVÁ,šéfka marketingu asociace anglických vinařů,M5
Julianne BARBIERE,mezinárodní oceánografická komise,M5
Julien PERRIN,francouzský včelař,M2
Max WAKEFIELD,organizátor protestu,M5
Zdeněk PELDA,mykolog,M3
Meghan MARKLEOVÁ,vévodkyně ze,M2
Melanie ENGRAMOVÁ,výzkumná asistentka z,M3
Melina GATESOVÁ,manželka,SKIP
Melinda GATESOVI,prohlášení,SKIP
Mercedes RBS,slibuje dojezd,SKIP
Michael HOULT,australský jachtař,M2
Metoda PCR,potvrdila nákazu u tisíce,SKIP
Metody CRISPR,můžete dozvědět v rozhovorech s,SKIP
Michael KIDD,prvním muže žádajícího o azyl,SKIP
Michal HOZÁK,čtenář,M2
Josef HOLEŠ,nadlesní,M2
Michaela MAREČKOVÁ,rostlinná fyzioložka,M3
Juniorské ME,v silniční cyklistice otevřela ženská,SKIP
Koalici SPOLU,by podle průběžných informací mohlo,SKIP
Koaliční ČSSD,ho nepodpořila projedná ho až,SKIP
Komisariát OSN,pro uprchlíky nebo,SKIP
Konference OSN,o globálním oteplování,SKIP
Konference OSN,o klimatických změnách se prodlouží,SKIP
Konference OSN,o změnách klimatu ve,SKIP
Kongresu OSN,nebo ve,SKIP
Ko BARRETTOVÁ,vicepředsedkyně,M6
Martin POVEJŠIL,český velvyslanec při,M6
Katarína SENDECKÁ,analytická chemička,M3
Kdy MPO,tedy vypsalo jakousi socioekonomickou nebo,SKIP
Kdyby ČSSD,z vlády odešla kdyby se,SKIP
Martina VAŠÁKOVÁ,přednostka pneumologické kliniky,M3
Kerem ATATUN,asistent vedoucího projektu na ochranu,M5
Klaus JOHANNIS,rumunský premiér hostitel summitu,M6
Klub KSČM,nepodporuje tuto normu tak vraťme,SKIP
Kevin JOHNSON,válečný veterán,M2
Keystone XL,tedy ta nová trubka jen,SKIP
Karel PEŠÁK,spolumajitel,M5
Martin ZAVRTÁLEK,metodik ochrany lesa,M5
Martin TOBOLKA,obsluha lanové dráhy,M2
Karla IV,který,SKIP
Karel ŠROL,tiskový odbor,M1
Kate SHEFFEROVÁ,národní akvárium v,M5
Martina NAVRÁTILOVÁ,tenistka,M2
Kim DO HYEON,vůdkyně demonstrací v,M5
Michelle BACHELETOVÁ,vysoká komisařka,M6
Michelle OBAMOVÁ,bývalá prvá dáma,M2
Micheál MARTIN,irský premiér,M6
Miguel ARIAS CANETE,eurokomisař pro klima a energie,M6
Miguel ROMERO,hasiči,M2
Mikuláš MINÁŘ,organizátor protestů předseda spolku,M5
Jiří POVÝŠIL,paraolympionik,M2
Jiří PETERKA,cestující,M2
Jiří TERYNGEL,advokát soudkyně,M1
Jiří TUREK,radiologický technik,M2
Jiří HORSKÝ,hrázný,M2
Milan ŠÁLEK,hlavní metoorolog,M3
Michaela BABIŠOVÁ,iniciativa,M5
Jiří KOS,sekce ochrany a podpory veřejného,SKIP
Jiří KADEŘÁBEK,hudební skladatel,M2
Jirka MALÍK,občanské sdružení,M5
Milton PEREZ,inženýr,M2
Mimochodem USA,jsou druhým největším producentem s,SKIP
Jenže ŘSD,které tady zastupuje stát tenkrát,SKIP
Jeff LOPEZ,postižený hurikánem,M2
Jeremy CORBYN,opoziční lídr labouristů,M6
Jeremy CORBYN,vůdce labouristů britský parlament,M6
Jen FIA,je no tak ho,SKIP
Miroslav PÁLKA,dobrovolný hasič,M2
Jasmin DUREGGEROVÁ,ochránkyně přírody,M5
Milena DRDÁCKÁ,klientka družstva,M2
Josef LEPŠA,spoluautor projektu studio,M5
Judy FRYLANDOVÁ,chicagský magistrát,M6
Joseph MILLS,fotbalista klubu,M2
Josef STRAKA,organizátor festivalu,M5
John MCCAIN,republikánský prezidentský kandidát,M6
John WOJNOWSKI,oběť sexuálního zneužívání,M2
Joonas FRITZE,ochránce přírody,M5
John ZIZIULAS,metropolita pravoslavné církve řecký teolog,M6
John KERRY,zvláštní vyslanec pro boj proti,M6
Michail KREINDLIN,představitel ruské pobočky organizace,M5
Jonathan BRENT,vysokoškolský pedagog odborník na komunismus,M3
Jonathan EWING,podnikatel,M5
Michal ZEMAN,molekulární biolog,M3
Michal JAKUBEC,preparátor,M2
John GADDIE,kapitán hasičského odddělení prevence,M1
Joel KELOI,pastevec uživatel aplikace,M2
Joe PELLE,šerif,M6
Johannes TORPE,designér,M2
John CHRISTENSEN,autor zprávy,M1
Michal KŘEMEN,strážník městské policie,M2
John KERRY,zvláštní vyslanec prezidenta,M6
Michal POLANSKÝ,odtahová služba,M2
Michal RYBNÍČEK,dendrochronolog,M3
Michal RYGL,přednosta,M6
Michal SLOUKA,pozorovatel,M2
Jiří ŠTEFEK,cyklista,M2
Jones ES,un kódem a teplotě,SKIP
Čang KCHAJ PO,napadený,M2
Zástupce EK,pro oblast klimatu v,SKIP
Zástupci KDU ČSL,si odpoledne taky chtějí vyslechnout,SKIP
Zástupci USA,budou jednat s tureckým prezidentem,SKIP
Aleš CIGÁNEK,šéfkameraman,M1
Škoda ENYAQ,má zvládnout dnes přes,SKIP
Čang ČCHIEN,šéfka projektu pro kontrolování počasí,M5
Česká BIS,varuje opakovaně před zahraniční špionáží,SKIP
Úspěch CNN,ale nepřišel přes noc,SKIP
Úřad OSN,pro uprchlíky letošní favorité se,SKIP
Čang CHAJ PIN,pastevec z provincie,M2
Zemanova ČSSD,za podpory,SKIP
Ko BARRETTOVÁ,vícepředkyně,M6
Alena DOSTÁLOVÁ,hydrobioložka,M3
Zpráva EEA,o klimatu,SKIP
Zpráva EK,o přerozdělování migrantů,SKIP
Zpráva OSN,milionu druhů hrozí vyhubení,SKIP
Zpráva OSN,mluví o všech přírodních katastrofách,SKIP
Zpráva OSN,počítá s katastrofickým scénářem že,SKIP
Zpráva OSN,upozorňuje že rozmanitost se snižuje,SKIP
Zsolt SEMJÉN,designovaný maďarský vicepremiér pro menšiny,M6
Alena SEIBERTOVÁ,osoba,M2
Alena STOLÁŘOVÁ,hydroložka,M3
Alena ŽÁKOVSKÁ,oddělení fyziologie a imunologie živočichů,M3
Alex ALLEY,britský jachtař zdroj,M2
Alejandro NEYRA,peruánský ministr cestovního ruchu,SKIP
Washingtonu USA,a ona se představila jako,SKIP
Ali SUBAH,jordánské ministerstvo pro vodu a,SKIP
Alfonso VALENCIA,oddělení medicíny,M3
Štáb BBC,strávil týden s vojáky v,SKIP
Část CEITEC,kterou zajišťuje,SKIP
Čína USA,nebo,SKIP
Aigerim TOLEUKANOVOVÁ,kazašská novinářka působící v,M1
Šéf OSN,na klimatickém summitu vyzval státy,M6
Šéf ČSSD,se včera sešel s prezidentem,M6
Že KDU,ano ale je to deklaratorní,SKIP
Akta OVM,s ředitelem dopravní policie,SKIP
Aktech OVM,s předsedkyní,SKIP
Adrian FERNANDEZ,organizace,SKIP
Agentura AFP,píše o bezprecedentní mobilizaci,SKIP
Agniezska PAMASKÁ,opoziční poslankyně,M6
Agniezska POMASKÁ,opoziční politička,M6
Agniwzska POMASKÁ,opoziční politička,M6
Al SHARPTON,reverend aktivista,M5
Alberto TESSERIN,správce baziliky sv,M2
Akt OVM,přijal generální ředitel,SKIP
Adam REZEK,režisér,M2
Abdi ACHEGEI,nezisková organizace,M5
Abdul ABDI,neúspěšný kandidát konzervativců,M2
Abel MUSANA,ochránce národního parku ve,M5
Abiy AHMED,etiopský premiér,M6
Adelaide CHOKOEOVÁ,ošetřovatelka stromů v parcích,M2
Aktuálně ČR,je velmi úspěšná v tom,SKIP
Livia KLAUSOVÁ,manželka prezidenta,M2
Marek LOULA,vrchní ředitel,M5
Levice NATO,považujeme za úplně přežité a,SKIP
Leoš KUBELKA,sportovní rybář,M2
Lesy ČR,ale pro všechny vlastníky v,SKIP
Lesy ČR,obchodovaly se,SKIP
Lesy ČR,vybírají těžební společnosti na kalamitní,SKIP
Lesy ČR,vydaly,SKIP
Lesů ČR,které tak jak v té,SKIP
Mariana TELEKEŠOVÁ,organizátorka protestu,M2
Marie FIŽOVÁ,kronikářka,M2
Li HUEI LAN,sběračka čaje,M2
Alex MOTUKO,ochránce přírody žirafí centrum v,M5
Mariupolu AZOS,město dál brání,SKIP
Leonard KUNTZ,opravář,M2
Martin BARRY,architekt ředitel festivalu reSITe,M5
Mars MISSION,twitterový účet,SKIP
Ladislav HOLEŠ,odbor životního prostředí,M6
Kryscina CIMANOUSKÁ,běloruská atletka,M2
Kmotr VR,protože je to jeden z,SKIP
Kitty FERGUSONOVÁ,autorka životopisu,M2
Klaus IOHANNIS,rumunský prezident,M6
Martin KOPECKÝ,spoluautor studie,M3
Martin KUKUČKA,režisér,M1
Klára STOLINSKÁ,spoluorganizátorka akce,M2
Lenka FIERLOVÁ,sestra oběti,M2
Léčba HIV,jsou komplikovanější záležitost protože léčil,SKIP
Lídrem KDU ČSL,na jižní,SKIP
Lídři EU,o klimatu,M6
Lídři ODS,lidovců a starostů nové předsedkyni,M6
Maatiusi MANNING,inuitský námořník,M2
Luke PETERS,lovec humrů,M2
Lukáš JANOTA,autor oceněné diplomové práce,M2
Maira KELLERSOVÁ,demonstrují studentka,M2
Lucie CWIKOVÁ,lékařka,M3
Management ČEZ,se k tomu může nějak,SKIP
Mairi GOUGEONOVÁ,skotská ministrině životního prostředí,M6
Lucie SMOLKOVÁ,hnutí,SKIP
Light BENJAMIN,zpěvačka,M2
Lucie SMOLKOVÁ,spoluorganizátorka,M5
Manuel SANTOS,kolumbijský prezident,M6
Manuela SCHWESIGOVÁ,ministerská předsedkyně,M6
Luděk KŘEPELKA,kombajnista,M2
Marco VIANELLO,restaurátor,M2
Marcel KOLAJA,zvolený místopředseda,M6
Marcela KALUŽÍKOVÁ,obec,SKIP
Marcela ONDŘEJOVÁ,advokátka,M1
Marian JUREČKA,opoziční zastupitel,M6
Marco TEDESCO,observatoř,SKIP
Marek KVETAN,výtvarník,M2
Luc MÉLENCHON,hnutí,M6
Lidové REPUBLIKY,prohlášení,SKIP
Lucie SMOLKOVÁ,pořadatelka,M5
Hnutí DUHA,i osobní váš názor je,SKIP
Peter MCKENNA,šéfkuchař majitel,M2
Hnutí SPD,dále trvá na poměrném zastoupení,SKIP
Hnutí SPD,je zásadně proti zvyšování daní,SKIP
Hnutí ANO,pane,SKIP
Hnutí ANO,se nově rozhodlo že také,SKIP
Hnutí ANO,také navrhuje zákon o lobbingu,SKIP
Hnutí DUHA,a s nimi správce lesů,SKIP
Hnutí DUHA,ale my se snažíme aby,SKIP
Hnutí DUHA,dobrý večer,SKIP
Hector CORDOVA,důlní inženýr bývalý ředitel důlní,M5
Hasan MINHAJ,komik,M2
Mirto KIRUSIOVÁ,nezaměstnaná,M2
Hilda ANDERSONOVÁ PYRZOVÁ,sestra zmizelé dívky,M2
Grospiči KSČM,má nějaký konkrétní plán v,SKIP
Greenpeace DUHA,zástupci krajů a tak dále,SKIP
Greens EFA,jednoho z těch dvou kandidátů,SKIP
Gyile NEWMANOVÁ,svědkyně atentátu na,M2
Hagen KOHL,podporovatel,M2
Hamáčka ČSSD,trvá na dodržování ústavy celou,SKIP
Furt AP,svou,SKIP
Garnett HALL,veterinář,M3
Generation EU,je spojený s těmito agendami,SKIP
Generation EU,úspěšný musíme být jisti že,SKIP
Greens EFA,to jsou ty evropské vlastně,SKIP
Petr DOUBRAVSKÝ,spoluorganizátor protestu,M5
Iryna VEREŠČUKOVÁ,ukrajinská vicepremiérka,M6
Ishmael OTAGA,kávový farmář,M2
Pavel ZÁMYSLICKÝ,hlavní vyjednavač,M5
Pavel STOULIL,železniční expert fakulta dopravní,M3
Holding EPH,podnikatele,SKIP
Hnutí DUHA,které na to upozorňuje opakovaně,SKIP
Hnutí DUHA,na tisíc dvě stě lidí,SKIP
Hnutí DUHA,tak to by samozřejmě dalo,SKIP
Hnutí DUHA,to znamená že si představovali,SKIP
Hnutí DUHA,ve spolupráci s městem,SKIP
Hnutí DUHA,že by se pouze kácelo,SKIP
Hřiba PPP,projekty tedy formou spolupráce se,SKIP
Hnutí ANO,ale výtky odmítá,SKIP
Hnutí STAN,budou ve vládě zastupovat ministři,SKIP
Hnutím ANO,a vůbec jsme nekomunikovali s,SKIP
Pavla SVRČINOVÁ,hlavní hygienička,M6
Pavel ŠOLTYS,náměsek hejtmana,M6
India BROWNOVÁ,fanynka britské královské rodiny,M2
Hnutí ANO,bude za úspěch považovat když,SKIP
Hnutí ANO,má pak sedm mandátů no,SKIP
Hnutí ANO,navrhlo na posty místopředsedů,SKIP
Hnutí ANO,nechce zvedat daně ad,SKIP
Hnutí ANO,obsadilo hejtmanský post a spolu,SKIP
Heslo ODS,o zemi která vítězí je,SKIP
Peníze EU,pro hornické regiony,SKIP
Pekarová ADAMOVÁ,predsedníčka českej,M6
Hnutí SPD,v kampani sází na své,SKIP
Federika MOGHERINIOVÁ,šéfka evropské diplomacie oprava,M6
Petro POROŠENKO,ukrajinský prezident,M6
Fiet HAYUOVÁ,veterinářka,M3
Federica MOGHERINIOVÁ,šéfka unijní diplomacie,M6
Projevme EU,víc úcty a nekazme stále,SKIP
Protocol CAP,formát kdy je vlastně takový,SKIP
Proč ODS,musela sáhnout po člověku proč,SKIP
Pražská MHD,teď má v karanténě nebo,SKIP
Prezident USA,prohlásil že se za své,SKIP
Princ HARRY,vnuk britské královny,M2
Pro SŽDC,je výstavba vysokorychlostní železnice jednou,SKIP
Phillipe VAILLER,francouzský policista,M1
Giles EPONE,organizátor tábora tzv,M5
Program OSN,pro životní prostředí analyzují jejich,SKIP
Program ČSSD,spekulanti nechávají domy chátrat anebo,SKIP
Programu OSN,pro životní prostředí jste v,SKIP
Phillippe LAMBERTS,spolupředseda,M6
Phudoma ŠERPAOVÁ,vesničanka z,M2
Piráti OSN,není v tuto chvíli není,SKIP
Piráti OSN,vznikl jako výsledek druhé světové,SKIP
Pirátů ČSSD,hnutí,SKIP
Plus DPH,nezapomínejme,SKIP
Plán EK,na nižší emise,SKIP
Podle CVVM,převážil negativní postoj,SKIP
Podle NKÚ,ho kabinet využil jen jednou,SKIP
Prognózy OSN,o nějakých deseti miliardách v,SKIP
Petr MARTÍNEK,investiční ředitel,M5
František ZADINA,brig,SKIP
Frauke PATRYOVÁ,šéfka strany,M6
Frauke PETRYOVÁ,šéfka strany,M6
František SOUKUP,kapelník,M2
Gantsetseg CHIMEDTSERENOVÁ,konzultantka,M5
Frederik ŠPANER,provozní kavárna,M2
Fredrik SEJERSTED,norský vrchní státní zástupce,M6
Freitas MOHALLEM,organizátor,M5
Filipa KSČM,oceňuje že se je kabinetu,SKIP
Filipe KSČM,dlouhodobě a vy jste to,SKIP
Filippo GRANDI,vysoký komisař,M6
Petra HÁJKOVÁ,paleobotanička,M3
Petr VONDRÁK,veterinář z,M3
František BEZDĚK,kněz duchovní garant školy,M2
František SKÁLA,výtvarník účastník protestu,M2
František BOSTL,makléř,M5
Petr ŠTĚPÁNEK,architekt člen řídícího výboru,M5
Podle OSN,je to důsledek klimatických změn,SKIP
Podle OSN,je třeba výrazné omezení emisí,SKIP
Podle OSN,kvůli životnímu prostředí každoročně přijdou,SKIP
Podle OSN,se jejich počet za posledních,SKIP
Podle OSN,se klima vymklo kontrole a,SKIP
Podle OSN,stoupla průměrná teplota od roku,SKIP
Podle OSN,vzroste počet požárů,SKIP
Petra RAJSNEROVÁ,experimentální stanice,M5
Firma NWR,se proto teď chystá zavřít,SKIP
Jaroslav SOVEK,hospodář rybářského spolku,M5
Jaroslav MIKOLÁŠ,jedatel,M5
Navíc NKÚ,podle názoru našich expertů na,SKIP
Nancy REAGANOVÁ,manželka bývalého amerického prezidenta,M2
Naopak ODS,a komunisti chtěli podmínky účasti,SKIP
Neil BURDEN,příznivce brexitu,M2
Nejméně CD,i já antuku když už,SKIP
Naďa PROKOPOVÁ,poškozená řidička z,M2
Nedostatky NKÚ,zjistil i u příjemců,SKIP
Negativním PCR,testem se musejí všichni prokázat,SKIP
Jaroslav KOLAŘÍK,arborista,M5
Jari SALMINER,univerzitní profesor,M3
Jak SPD,tak i,SKIP
Jana TROJANOVÁ,organizátorka,M5
Nicola STURGEONOVÁ,skotská premiérka a předsedkyně,M6
Nicola STURGEONOVÁ,skotská první ministryně,M6
Nicola STURGEONOVÁ,vůdkyně,M6
Nicole HUNTEROVÁ,záchranná a rehabilitační bioložka,M3
Nicole STURGEONOVÁ,skotská premiérka,M6
Jaromír KUBŮ,kasteálán,M5
Noor SHUHADAHOVÁ,vládní zaměstnankyně,M6
Nicolás MADURO,venezuelský prezident,M6
Nikolaj LEVKOVSKIJ,psovod,M2
Nová ODS,ani náhodou,SKIP
Nové OZE,se tu nestaví už výrazně,SKIP
Jana ČIKINOVÁ,rozhodčí,M2
Mitch MCCONNELL,vůdce republikánské menšiny v,M6
Miroslava PLŠKOVÁ,geologická pracovnice,M3
Mmadi REUBEN,vrchní veterinář botswanských národních parků,M5
Mnislav ZELENÝ,etnolog spisovatel,M3
Jeho CNN,je ale dnes jedním z,SKIP
Jeho PIN,spis dřív,SKIP
Jekatěrina JAKOVLEVOVÁ,pořadatelka akce,M5
Jel ODS,sahá,SKIP
Jason LYALL,univerzita v,M3
Moses AKORLI,ghanský rybář,M2
Moskevské CSKA,nakonec přehrálo,SKIP
Mohammad TAREF,pěstitel banánů,M2
Jaroslav PEKÁREK,observatoř,SKIP
Monika BEJČKOVÁ,lesní,SKIP
Mostafa SILÍTOVÁ,egyptské ministerstvo pro vodní zdroje,M6
Motonobu KIMURA,jihokorejský obchodník s rybami,M2
Muchar ABLJAZOV,bývalý kazašský ministr v exilu,M6
Muhammad NAŠÍD,bývalý maledivský prezident,M6
Muhammad NAŠÍD,odstupující prezident,M6
Mulyani INDRAWATOVÁ,indonéská ministryně financí,M6
Má OKD,vůbec šanci se z dluhu,SKIP
Na CNN,teď uveřejnili jeden z průzkumů,SKIP
Na EU,připadá jak už tady zaznělo,SKIP
Na ISS,má finance,SKIP
Na SZDČ,se mají teď snášet požadavky,SKIP
Na ÚP,způsobují civilní oběti protože ten,SKIP
Molu ČOI,se sahající to už,SKIP
Jan KYSELA,ústavní právník,M3
Osamu OKAMURA,architekt a urbanista,M5
Ostravak ANO,předložilo dodatečné požadavky týkající se,SKIP
Jan ROVENSKÝ,organizátor pochodu,M5
Jan NOVOTNÝ,prodejce stavebního řeziva,M2
Pan HAVLAS,manžel,M2
Panaiotis SILIAIDIS,postižený požáry,M2
Paolo VIELMO,inženýr,M2
Patrick CAREY,tamní obyvatel,M2
Papež FRANTIŠEK,nejvyšší představitel katolické církve,M6
Paris STEFANOUDIS,výzkumný institut,M5
Pascal CANFIN,iniciátor rezoluce europoslanec,M6
Nyoman SURYADIPUTRA,společnost na ochranu mokřadů,M5
Pat LACEYOVÁ,prapraneteř kapitána,M2
Paulo ARTAKSO,avtor poročila,M3
Paulo ARTAXO,hlavní autor zprávy,M3
Pavel BOJANOVSKÝ,včelař,M2
Paul NICKLEN,kanadský fotograf a biolog,M3
Jan BARTOŠKA,autor aplikace,M2
Pavel II,tehdy jeho popularita byla přes,SKIP
Jakub PFEIFER,veterinární lékař,M2
Jakub PŠENIČKA,provozní hotelu,M2
Jack KENNEDY SCHLOSSBERG,vnuk,M2
Jacques FLAMAND,veterinář divokých zvířat,M3
